#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
24,"Don't Worry (with Ray Dalton) - Radio Edit","Madcon,Ray Dalton",123,9B,70,2026-02-11,03:34,78,"norwegian hip hop, ","Don't Worry (feat. Ray Dalton)",2015-04-10,81,7,0,73,10,10,-5,G Major,4,63CSozvYUEudPp12679UVF,NO5281501010
25,"Summer","Calvin Harris",128,9A,86,2026-02-11,03:42,85,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
26,"Hymn for the Weekend","Coldplay",90,5A,69,2026-02-11,04:18,84,"","A Head Full of Dreams",2015-12-04,49,21,0,41,0,30,-6,C Minor,4,3RiPr603aXAoi4GHyXx0uy,GBAYE1500979
27,"The Hanging Tree - From  The Hunger Games: Mockingjay  Soundtraclk","James Newton Howard,Jennifer Lawrence",54,8A,7,2026-02-09,03:38,71,"soundtrack, score, ","The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)",2014-11-21,21,34,0,14,0,20,-18,A Minor,4,416MsJxvxSKY96DCmbJIRs,USUG11401803
28,"They Don't Care About Us","Michael Jackson",90,5A,91,2026-02-09,04:44,83,"","HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,86,21,1,73,10,30,-6,C Minor,4,3wuCCNCnBhJlwkIJTBZFiv,USSM19500629
29,"I Gotta Feeling","Black Eyed Peas",128,8B,77,2026-02-06,04:49,84,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,74,9,0,61,0,50,-6,C Major,4,4kLLWz7srcuLKA7Et40PQR,USUM70965169
30,"Feeling Good","Michael Bublé",115,3B,53,2026-02-04,03:57,71,"christmas","It's Time (20th Anniversary Deluxe Edition)",2004-00-00,42,53,0,43,0,10,-7,C♯/D♭ Major,3,6lRU3pKjNnSI9svHzznkC6,USRE11300257
31,"Runaway Baby","Bruno Mars",164,3A,76,2026-02-04,02:28,76,"","Doo-Wops & Hooligans",2010-05-11,66,26,0,82,0,10,-3,A#/B♭ Minor,4,7hCNBVRhHzcsRAv0TQnOzq,USAT21001885
32,"Something In The Way","Nirvana",105,4B,20,2026-02-04,03:52,73,"grunge, rock","Nevermind (Remastered)",1991-09-26,43,75,26,7,0,10,-13,G#/A♭ Major,4,4gHnSNHs8RyVukKoWdS99f,USGF19942512
33,"HandClap","Fitz and The Tantrums",140,4B,84,2026-02-04,03:13,70,"","Fitz and The Tantrums",2016-06-10,64,1,0,72,0,0,-3,G#/A♭ Major,4,7j56HrjR9cGzvekvZY3Faz,USAT21600408
34,"Bitter Sweet Symphony - Remastered 2016","The Verve",171,11B,92,2026-02-04,05:57,85,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,36,3,0,52,0,40,-6,A Major,4,57iDDD9N9tTWe75x6qhStw,GBUM71601816
35,"Roxanne","The Police",134,8B,75,2026-02-04,03:11,79,"","Outlandos D'Amour (Remastered 2003)",1978-11-02,62,4,0,66,30,0,-9,C Major,4,3EYOJ48Et32uATr9ZmLnAo,GBAAM0201086
36,"Love Me Again","John Newman",126,7A,89,2026-02-04,03:59,80,"","Tribute",2013-01-01,50,0,0,21,0,10,-5,D Minor,4,5TbzAWWc5eJaANpA9kfGCd,GBUM71301538
37,"As It Was","Harry Styles",174,11A,73,2026-02-04,02:47,91,"","Harry's House",2022-05-20,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4Dvkj6JhhA12EX05fT7y2e,USSM12200612
38,"Welcome To The Jungle","Guns N' Roses",124,4B,99,2026-02-04,04:33,85,"rock, glam metal, hard rock, classic rock","Appetite For Destruction",1987-07-21,45,2,28,32,0,20,-4,G#/A♭ Major,4,0G21yYKMZoHa30cYVi1iA8,USGF18714801
39,"Dream On","Aerosmith",78,3B,48,2026-02-03,04:27,85,"classic rock, rock","Aerosmith",1973-01-05,39,40,0,23,0,30,-8,C♯/D♭ Major,4,1xsYj84j7hUDDnTTerGWlH,USSM10011897
40,"Golden Brown - Slowed Down Version","The Stranglers",157,5A,42,2026-02-03,04:08,82,"proto-punk, new wave","Golden Brown",1981-12-28,53,14,6,42,0,10,-13,C Minor,3,612bl0KHzyyxEhPzuMqM6e,GBAYE2500725
41,"Mary On A Cross","Ghost",130,1B,90,2026-02-03,04:04,80,"metal, hard rock","Seven Inches of Satanic Panic",2019-09-13,46,0,0,56,0,10,-4,B Major,4,2wBnZdVWa5jVpvYRfGU7rP,USC4R1902750
42,"Rasputin - Single Version","Boney M.",126,11A,72,2026-01-30,03:40,73,"disco","Fantastic Boney M.",1984-12-03,69,47,0,97,0,40,-13,F#/G♭ Minor,4,67hbP9PFQZrb4XZc3TzB0s,DED167800002
43,"Sailor Song","Gigi Perez",95,1B,39,2026-01-29,03:31,88,"","At The Beach, In Every Life",2025-04-25,50,63,0,27,0,10,-10,B Major,4,21IYMdzTrzSe191Cy5eMap,USHM92438095
44,"Outro","M83",109,10B,26,2026-01-28,04:07,75,"","Hurry up, We're Dreaming",2011-10-17,16,3,9,8,0,0,-11,D Major,4,1s9i7W8zx7Nxx78MUIsvjV,GB55H1100022
45,"Midnight City","M83",105,10A,73,2026-01-28,04:03,81,"","Hurry up, We're Dreaming",2011-10-17,51,2,0,27,0,0,-5,B Minor,4,6GyFP1nfCDB8lbD2bG0Hq9,GB55H1100002
46,"Feel It Still","Portugal. The Man",79,12A,80,2026-01-28,02:43,83,"","Woodstock",2017-06-16,80,4,0,75,0,0,-5,C♯/D♭ Minor,4,6QgjcU0zLnzq5OrUoSZ3OK,USAT21700437
47,"Rasputin","Majestic,Boney M.",128,11A,91,2026-01-28,03:06,80,"disco","Rasputin",2021-02-26,76,0,0,66,10,10,-3,F#/G♭ Minor,4,0b18g3G5spr4ZCkz7Y6Q0Q,DEE862100256
48,"Pumped Up Kicks","Foster The People",128,4A,71,2026-01-28,03:59,85,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
49,"Pump It","Black Eyed Peas",154,12A,93,2026-01-27,03:33,83,"","Monkey Business",2005-01-01,65,1,0,74,10,70,-3,C♯/D♭ Minor,4,2ygMBIctKIAfbEBcT9065L,USIR10500407
50,"Flight","Hans Zimmer",80,7B,36,2026-01-27,04:18,62,"soundtrack, score","Man of Steel (Original Motion Picture Soundtrack)",2013-06-11,8,25,85,5,0,10,-15,F Major,4,1mUG7ftwIxuq5fhMPkyM02,USNLR1300273
51,"Clocks","Coldplay",131,4A,75,2026-01-27,05:07,86,"","A Rush of Blood to the Head",2002-08-27,58,60,1,26,0,10,-7,F Minor,4,0BCPKOYdS2jbQ8iyB56Zns,GBAYE0200771
52,"Adventure of a Lifetime","Coldplay",112,9B,92,2026-01-27,04:23,87,"","A Head Full of Dreams",2015-12-04,64,0,0,53,0,10,-4,G Major,4,69uxyAqqPIsUyTO8txoP2M,GBAYE1500981
53,"back to friends","sombr",93,3B,72,2026-01-27,03:19,92,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
54,"Golden Brown","The Stranglers",94,2B,38,2026-01-27,03:26,83,"proto-punk, new wave","La Folie",1981-00-00,56,14,12,60,0,10,-15,F#/G♭ Major,3,2AX5E86cn9n2dgioZEjirI,GBAYE8100053
55,"Light The Fuse","Michael Giacchino",110,4A,54,2026-01-27,02:01,41,"soundtrack, score","Mission: Impossible - Ghost Protocol (Music From The Motion Picture)",2012-01-01,66,89,89,70,0,0,-6,F Minor,3,4GTd6PgryJx2nJ2P4fs2Cr,US3M51112802
56,"Quantum Mechanics","Ludwig Göransson",99,9A,28,2026-01-27,03:00,58,"score, soundtrack","Oppenheimer (Original Motion Picture Soundtrack)",2023-07-21,33,51,34,9,0,0,-15,E Minor,3,09I8yYd9egMHOLDRFenYrV,USQ4E2204393
57,"Fallout","Lorne Balfe",169,8B,40,2026-01-27,01:30,45,"soundtrack, score","Mission: Impossible - Fallout (Music from the Motion Picture)",2018-07-13,43,34,90,14,0,0,-13,C Major,5,0llzwIl1LZHvOW2GIKJ3jQ,USKLP1800097
58,"End of Beginning","Djo",160,10B,45,2026-01-27,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
59,"snowfall","Øneheart,reidenshi",95,6B,9,2026-01-27,02:04,83,"dark ambient, ambient","snowfall",2022-01-14,47,93,80,8,0,40,-27,A#/B♭ Major,4,4xF4ZBGPZKxECeDFrqSAG4,QM3DF2191341
60,"Numb","Linkin Park",110,11A,87,2026-01-23,03:07,88,"nu metal, rap metal, rock, alternative metal","Meteora",2003-03-25,49,0,0,21,0,40,-4,F#/G♭ Minor,4,2nLtzopw4rPReszdYBJU6h,USWB10300474
61,"What I've Done","Linkin Park",120,7B,94,2026-01-23,03:25,86,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,63,1,0,29,0,10,-5,F Major,4,18lR4BzEs7e3qzc0KVkTpU,USWB10700721
62,"Dirty Deeds Done Dirt Cheap","AC/DC",136,10A,91,2026-01-21,03:52,75,"rock, hard rock, classic rock, rock and roll","Dirty Deeds Done Dirt Cheap",1976-09-20,67,21,0,51,10,10,-5,B Minor,4,2d4e45fmUnguxh6yqC7gNT,AUAP07600046
63,"Pompeii","Bastille",127,11B,72,2026-01-21,03:34,75,"","All This Bad Blood",2013-01-01,68,8,0,57,0,20,-6,A Major,4,4Ub8UsjWuewQrPhuepfVpd,GBAAA1200795
64,"Fog Bound","Klaus Badelt",86,9A,9,2026-01-17,02:16,50,"soundtrack","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)",2003-07-22,23,87,53,4,0,0,-23,E Minor,4,3rPmRqTPwBs5qCotzfqpwO,USWD10321327
65,"Petricor","Ludovico Einaudi,Daniel Hope",108,9B,31,2026-01-17,06:34,56,"neoclassical, classical, contemporary classical","Elements (Deluxe)",2015-10-16,23,85,85,4,0,0,-15,G Major,4,4XWqS8UGO5x4ClB2yH0nbW,ITB281500143
66,"Suzume","RADWIMPS,Toaka",78,7A,41,2026-01-14,03:58,71,"anime, j-pop, j-rock","Suzume (Motion Picture Soundtrack)",2022-11-10,56,65,0,36,0,30,-7,D Minor,4,1n1y2kFPISpF9WGD3JaFo5,JPV972200075
67,"Wind","Akeboshi",117,5A,48,2026-01-14,03:40,70,"anime","Akeboshi",2005-06-22,37,48,0,60,0,0,-8,C Minor,1,5BqKtuCFLfZyzfZOwlgW1f,JPES00500781
68,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes,Adam Levine",90,11B,80,2026-01-14,03:30,84,"","The Papercut Chronicles II",2011-11-11,65,3,0,80,10,20,-3,A Major,4,0qOnSQQF0yzuPWsXrQ9paz,USAT21101071
69,"Jacob and the Stone","Emile Mosseri",84,3B,17,2026-01-14,01:38,74,"","Minari (Original Motion Picture Soundtrack)",2021-02-12,19,92,94,11,0,10,-18,C♯/D♭ Major,4,2nltARCkZyrzjQANViDpuX,USQX92005302
70,"The Battle of the Pelennor Fields","Howard Shore",121,9A,40,2026-01-13,04:10,54,"soundtrack, score","The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition)",2003-12-16,18,47,96,7,0,0,-15,E Minor,5,2pSMjadGmWcUbIF5eqLUxE,USRE10701442
71,"Don't Stop Me Now - Remastered 2011","Queen",156,7B,87,2026-01-13,03:29,83,"classic rock, rock, glam rock","Jazz (2011 Remaster)",1978-11-10,56,5,0,61,10,70,-5,F Major,4,5T8EDUDqKcs6OSOwEsfqG7,GBUM71029610
72,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2026-01-13,04:29,86,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524
73,"Gangsta's Paradise","Coolio,L.V.",80,4B,51,2026-01-13,04:00,88,"west coast hip hop, g-funk, ","Gangsta's Paradise",1995-11-07,65,7,0,39,0,40,-10,G#/A♭ Major,4,1DIXPcTDzTj8ZMHt3PDt8p,USTB10400128
74,"The Bridge of Khazad Dum","Howard Shore",84,4A,49,2026-01-09,05:57,54,"soundtrack, score","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)",2001-11-19,30,36,91,4,0,20,-13,F Minor,4,6HYCOHzY2xR4W2dOokH3ed,USRE10102114
75,"Archangel","Thomas Bergersen,Two Steps from Hell",80,7A,96,2026-01-09,02:36,55,"orchestral","Archangel",2011-09-20,42,26,88,38,0,10,-5,D Minor,4,5HuPzwE4B81glp3UMWGfB9,USHM81164661
76,"Viva La Vida","Coldplay",138,4A,62,2026-01-07,04:02,88,"","Viva La Vida or Death and All His Friends",2008-06-06,49,10,0,42,0,10,-7,F Minor,4,1mea3bSkSGXuIRvnydlB5b,GBAYE0800265
77,"Can You Hear The Music","Ludwig Göransson",139,9A,44,2026-01-07,01:50,71,"score, soundtrack","Oppenheimer (Original Motion Picture Soundtrack)",2023-07-21,19,23,94,6,0,10,-12,E Minor,4,4VnDmjYCZkyeqeb0NIKqdA,USQ4E2204391
78,"Asgard - From  Thor: The Dark World /Score","Brian Tyler",82,8B,52,2026-01-07,01:56,35,"soundtrack, score","Thor: The Dark World (Original Motion Picture Soundtrack)",2013-01-01,28,2,98,28,0,0,-10,C Major,4,5LuenPeo98IBXOUy8r4yC0,USHR11335261
79,"Rolling in the Deep","Adele",105,4B,77,2026-01-07,03:48,81,"soft pop","21",2011-01-24,73,14,0,51,0,0,-5,G#/A♭ Major,4,4OSBTYWVwsQhGLF9NHvIbR,GBBKS1000335
80,"Call Of Duty: MW3","Brian Tyler",98,6B,39,2026-01-07,02:10,43,"soundtrack, score","Call of Duty: Modern Warfare 3 (Original Game Soundtrack)",2011-11-08,44,14,80,26,0,10,-13,A#/B♭ Major,4,6cXcW9QZQbO3Unq9aak9Xo,USZXT1127759
81,"In The End","Tommee Profitt,Fleurie,Jung Youth",88,6A,67,2026-01-05,03:54,57,"","Covers (Vol. 1)",2020-05-01,48,31,0,9,10,0,-7,G Minor,4,2cpIZ0zfnlNNwk99Hmpwpn,TCADO1871408
82,"Portals","Alan Silvestri",93,9B,51,2026-01-05,03:17,57,"soundtrack, score","Avengers: Endgame (Original Motion Picture Soundtrack)",2019-04-26,17,43,96,8,0,20,-11,G Major,4,0OVtnS3l4vThGxkdqCxN6K,USHR11939151
83,"Smooth Criminal - 2012 Remaster","Michael Jackson",118,4B,98,2026-01-05,04:17,80,"","Bad (Remastered)",1987-08-31,85,25,47,60,0,30,-4,G#/A♭ Major,4,5T7ywazdGIydr6JCW6t02j,USSM11204989
84,"Eye of the Tiger","Survivor",109,5A,44,2026-01-05,04:03,79,"","Eye Of The Tiger",1982-00-00,82,22,0,55,0,0,-15,C Minor,4,2HHtWyy5CgaQbC7XSoOb0e,USVR19300001
85,"Moneytalks","AC/DC",122,9B,90,2026-01-05,03:45,69,"rock, hard rock, classic rock, rock and roll","The Razors Edge",1990-09-24,65,0,0,41,0,10,-4,G Major,4,5u5F7qLDvZjBSktaDp4HxB,AUAP09000016
86,"Crazy","Gnarls Barkley,CeeLo Green,Danger Mouse",112,4B,54,2026-01-05,02:57,81,"","St. Elsewhere",2007-12-01,87,5,2,64,0,0,-6,G#/A♭ Major,4,1vxw6aYJls2oq3gW0DujAo,GBAHT0600202
87,"Bad Dream","Stellar",125,4B,75,2026-01-05,02:27,61,"","Bad Dream",2021-10-29,73,0,0,56,0,10,-3,G#/A♭ Major,4,4vDGc8mD9kHbC2Yy6pF6SE,QZSYP2169327
88,"It's a Long Way to the Top (If You Wanna Rock 'N' Roll)","AC/DC",136,5B,86,2026-01-05,05:02,74,"rock, hard rock, classic rock, rock and roll","High Voltage",1976-05-14,46,13,5,53,0,0,-4,D#/E♭ Major,4,7nemcVsXVFZF01iqpIIo2Y,USEW17500002
89,"Thor: The Dark World - From  Thor: The Dark World /Score","Brian Tyler",68,6B,71,2026-01-04,02:10,48,"soundtrack, score","Thor: The Dark World (Original Motion Picture Soundtrack)",2013-01-01,33,4,96,24,0,10,-10,A#/B♭ Major,4,5rQmuNRjKT6t33JlNJbc6I,USHR11335262
90,"Idea 25 - Slowed + Reverb","Gibran Alcocer,Andrea Vanzo",154,2A,17,2026-01-04,03:28,48,"","Idea 25 (Remixes)",2025-01-20,19,88,84,8,0,10,-18,D#/E♭ Minor,4,0riUnEFo7NJAmEaTGNtHt4,US38Y2502583
91,"Iron Man 3","Brian Tyler",134,10B,58,2026-01-04,02:23,53,"soundtrack, score","Iron Man 3 (Original Motion Picture Soundtrack)",2013-01-01,38,3,94,7,0,0,-12,D Major,4,7u5XBHnht6dyoRXRBb5soK,USHR11334460
92,"Stayin' Alive","Bee Gees",104,3A,54,2026-01-04,01:32,72,"disco","Staying Alive (Original Motion Picture Soundtrack)",1977-12-13,71,11,1,64,0,0,-20,A#/B♭ Minor,4,4UDmDIqJIbrW0hMBQMFOsM,GBA077700130
93,"Solas (Sped Up)","Gibran Alcocer",79,8A,45,2026-01-04,01:47,45,"","Solas (Remixes)",2023-02-17,25,95,91,46,0,10,-14,A Minor,4,4YKiBrKQvwKeaEeQEgMa1s,USANG2263913
