#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
109,"Bohemian Rhapsody","Queen",144,5A,40,2025-05-05,05:54,75,"classic rock, rock, glam rock","Bohemian Rhapsody (The Original Soundtrack)",2018-10-19,39,29,0,25,0,20,-10,C Minor,4,3z8h0TU7ReDPLIbEnYhWZb,GBUM71029604
110,"Entaille (ce qu'il reste de mes entrailles)","Collatéral",135,10A,91,2025-05-05,02:59,0,"","Pt. 1",2015-02-14,67,1,0,65,0,30,-6,B Minor,4,5uRmNGvSjCscEZ2gXjk2Lu,FR0Z50029134
111,"Somebody That I Used To Know","Gotye,Kimbra",129,8B,52,2025-05-05,04:04,82,"","Making Mirrors",2011-01-01,87,55,0,75,0,10,-7,C Major,4,1qDrWA6lyx8cLECdZE7TV7,AUZS21100040
112,"Skyfall","Adele",77,5A,53,2025-05-04,04:46,33,"soft pop","Lo Esencial de 1 Año de Éxitos, Vol. 5",2015-06-09,33,42,0,7,0,10,-7,C Minor,4,1gL3uxdq2NRLNLHtvai0kQ,GBBKS1200164
113,"House of the Rising Sun","The Animals",117,8A,48,2025-03-27,04:29,22,"classic rock","60 Hits of the 60s",2016-11-04,32,0,0,30,0,0,-9,A Minor,3,03i76EvpujI0LuyyK33teC,GBAYE6400209
114,"Ironic","Alanis Morissette",171,1B,64,2025-01-07,03:48,63,"","The Collection (Standard Edition)",2005-11-11,46,25,0,29,0,10,-6,B Major,4,29YBihzQOmat0U74k4ukdx,USMV20500296
115,"Imagine - Remastered 2010","John Lennon",76,8B,26,2025-01-07,03:07,79,"christmas","Imagine",1971-09-09,55,91,18,17,0,0,-12,C Major,4,7pKfPomDEeI4TPT6EOYjn9,GBAYE1000769
116,"La seine","French Café Ensemble",113,7A,89,2024-12-14,02:44,38,"french jazz","On aime la variété française",2018-04-14,61,22,0,43,0,10,-5,D Minor,4,4B2nzd1WnA9wBKWqH2guZD,FR80T1100778
117,"There's Nothing We Can Do","Enbella",91,6B,20,2024-12-01,03:20,0,"","There's Nothing We Can Do",2023-11-01,69,89,0,45,0,20,-17,A#/B♭ Major,4,6wSAnfGWpTHXm4c6zSm6XO,FRDKW2321234
118,"Amour Plastique - There is nothing we can do","ImXgine,GUTZ",108,9A,31,2024-12-01,01:02,52,"","Amour Plastique (There is nothing we can do)",2021-00-00,69,74,0,43,0,60,-14,E Minor,4,0AYMRvZbMZ5hkcX4NtFINU,QZLBC2328721
119,"Boulevard of Broken Dreams","Green Day",167,4B,58,2024-11-20,04:20,79,"punk, pop punk","American Idiot (20th Anniversary Deluxe Edition)",2024-10-25,51,0,0,61,0,0,-8,G#/A♭ Major,4,0U87auHx1iZTEFcq9KVdmO,USRE11200337
120,"Boulevard of Broken Dreams","Green Day",167,4B,68,2024-11-20,04:21,74,"punk, pop punk","Boulevard of Broken Dreams",2004-00-00,49,0,0,51,0,0,-4,G#/A♭ Major,4,1hwJKpe0BPUsq6UUrwBWTw,USRE10401426
121,"Voilà","Barbara Pravi",136,7A,35,2024-11-11,02:57,66,"chanson, french pop","On n’enferme pas les oiseaux",2021-08-27,44,79,0,61,0,20,-8,D Minor,4,0UVlOQ3EEiTVOctUOnJ00w,FRUM72001645
122,"Voilà","Barbara Pravi",135,7A,34,2024-11-11,02:56,68,"chanson, french pop","Voilà",2020-11-06,45,77,0,60,0,30,-9,D Minor,4,1uAOCTevGnyKIDbgZdOCnE,FRUM72001645
123,"Shark Attack","John Williams",128,3B,14,2024-11-08,01:16,30,"soundtrack, score","Jaws (The Collector's Edition Soundtrack)",2000-06-24,37,48,80,4,0,10,-16,C♯/D♭ Major,4,4fMHYXLvnC0MFllGGL0Gq7,GBBBB4600005
124,"Les dents de la mer (Thème)","Musique De Film",97,12B,44,2024-11-08,02:36,19,"","Musiques de films : 40 titres d'anthologie",2009-01-01,38,86,68,12,0,10,-7,E Major,4,1k9u3TD3vpieVIOdB8ksoV,FRY510990046
125,"Let Her Go","Passenger",75,9B,55,2024-11-02,04:12,75,"folk pop","All The Little Lights",2012-08-28,48,37,0,24,0,10,-7,G Major,4,1KxwZYyzWNyZSRyErj2ojT,GBMQN1200012
126,"Formidable","Stromae",71,9A,63,2024-10-31,03:33,50,"french pop","Racine Carrée (Standard US Version)",2013-01-01,51,10,0,50,10,10,-9,E Minor,4,382n05RtneO3ykQlFQrAd1,BET671300161
127,"Papaoutai","Stromae",116,3A,81,2024-10-31,03:52,59,"french pop","Racine Carrée (Standard US Version)",2013-01-01,73,3,0,25,0,0,-7,A#/B♭ Minor,4,1QFw2xxyQtgKjlrMCEqsNj,BET671300160
128,"Un homme debout","Variété Française",95,4B,82,2024-10-25,03:20,5,"variété française, chanson","On aime la variété française",2018-04-14,62,52,0,77,0,10,-3,G#/A♭ Major,3,27op6c6cn3UlPv34knXRMq,FR80T1600408
129,"Un homme debout","Claudio Capéo",95,4B,58,2024-10-25,03:26,59,"variété française, french pop, chanson","Claudio Capéo (Version deluxe)",2016-11-11,80,65,0,83,0,10,-5,G#/A♭ Major,3,0OgXPbATscAIQscpu4QffP,FR7S01600100
130,"Formidable","Stromae",71,9A,63,2024-10-22,03:33,73,"french pop","racine carrée",2013-01-01,51,10,0,50,10,10,-9,E Minor,4,2AMysGXOe0zzZJMtH3Nizb,BET671300161
131,"Time","Hans Zimmer",63,9B,10,2024-10-17,04:35,74,"soundtrack, score","Inception (Music from the Motion Picture)",2010-07-09,29,18,70,4,0,0,-17,G Major,4,6ZFbXIJkuI1dVNWvzJzown,USRE11000577
132,"Murph","Hans Zimmer",58,8B,12,2024-10-17,11:20,48,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,6,70,68,3,0,0,-18,C Major,4,5GQizQBj0KxTUgd3ZRzaRE,USNLR1400796
133,"Who's They?","Hans Zimmer",96,9A,2,2024-10-17,07:17,49,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,25,99,96,3,0,0,-29,E Minor,4,2LqPmrNUWC5xo33ONwdooI,USNLR1400795
134,"Flying Drone","Hans Zimmer",96,8A,18,2024-10-17,01:53,49,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,42,96,79,31,0,0,-23,A Minor,4,1xdoNSWRU59XRgtOgoQ1KH,USNLR1400790
135,"First Step","Hans Zimmer",71,8A,8,2024-10-17,01:47,58,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,16,43,95,3,0,10,-19,A Minor,4,1gLLVtr9kIjmyoRzENZ11w,USNLR1400789
136,"Coward","Hans Zimmer",120,8B,26,2024-10-17,08:26,53,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,43,24,88,4,0,20,-19,C Major,4,4GBZUZe04pHVN0TLhejCSS,USNLR1400785
137,"The Wormhole","Hans Zimmer",96,8B,5,2024-10-17,01:30,53,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,14,56,89,2,0,0,-29,C Major,4,5tWPl23tRGaEbSz3f0lTsW,USNLR1400779
138,"Cornfield Chase","Hans Zimmer",94,8A,23,2024-10-17,02:06,77,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,18,95,98,5,0,10,-16,A Minor,4,6pWgRkpqVfxnj3WuIcJ7WP,USNLR1400774
139,"Can't Hold Us - Live From Spotify NYC feat. Ray Dalton","Macklemore & Ryan Lewis,Ray Dalton",146,10B,88,2024-10-15,04:59,42,"","Spotify Sessions",2013-04-29,57,6,0,57,40,70,-8,D Major,4,4FQDZwcvvXpqpPMquZ6qTV,GMM881300008
140,"Can't Hold Us (feat. Ray Dalton)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",146,10B,93,2024-10-15,04:18,65,"","The Heist (Deluxe Edition)",2012-10-09,63,3,0,88,0,10,-4,D Major,4,1ydmhnyDOWr5y0s7Vvdw5i,GMM881200002
141,"Beat It","Michael Jackson",139,2A,71,2024-10-15,04:18,84,"","Thriller",1982-11-30,78,2,0,90,0,20,-9,D#/E♭ Minor,4,3BovdzfaX4jb5KFQwoPfAw,USSM19902990
142,"Skyfall","Adele",76,5A,55,2024-10-10,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
143,"Elle me dit","MIKA",126,6B,77,2024-08-30,03:38,60,"","The Origin Of Love",2012-01-01,78,5,0,46,0,0,-4,A#/B♭ Major,4,3xUhchyBGEUNAwelO2yzqp,USC7R1100001
144,"Sofia","Alvaro Soler",128,10B,71,2024-08-30,03:29,33,"","Summer Vibes 2021",2021-06-11,69,7,0,91,0,10,-6,D Major,4,4xsaMtlZzDh2LCdeU3efY6,DEUM71601055
145,"Sofia","Alvaro Soler",128,10B,73,2024-08-30,03:30,72,"","Eterno Agosto",2016-07-15,69,11,0,91,0,20,-6,D Major,4,5vj59ONIVbyhcrI8ZSwoRo,DEUM71601055
146,"FAIRY TAIL Main Theme","Yasuharu Takanashi",110,7A,90,2024-06-25,02:32,54,"anime, soundtrack"," Fairy Tail  Original Soundtrack Vol.1",2017-11-01,46,0,91,37,0,30,-4,D Minor,4,7JoZiEMrwjpD18krCV8Czo,JPPC00903987
147,"Natsu's Theme","Yasuharu Takanashi",128,9B,97,2024-06-23,01:55,44,"anime, soundtrack"," Fairy Tail  Original Soundtrack Vol.1",2017-11-01,47,0,89,36,0,10,-5,G Major,4,3rTk7Ll8NRrd2jspBFtimV,JPPC00903999
148,"Ulysse","Ridan",134,7A,42,2024-06-15,03:39,52,"variété française, chanson, french pop","L'Ange De Mon Démon",2007-03-16,87,76,0,71,0,0,-7,D Minor,4,6OPNvqvtQf9QT5zPh8wDk7,FRZ050600647
149,"Formula 1 Theme","Brian Tyler",100,4B,77,2024-06-04,03:14,62,"soundtrack, score","Formula 1 Theme",2018-03-17,51,7,87,4,0,30,-9,G#/A♭ Major,4,5r7egnfTIQjaKSGREhIky9,TCADO1803893
150,"Danza Kuduro","Don Omar,Lucenzo",130,8B,90,2024-05-11,03:18,7,"reggaeton, urbano latino, kuduro","Fast Five (Original Motion Picture Soundtrack)",2011-01-01,70,9,0,90,0,0,-6,C Major,4,4sCSUQnWQ6HJsOMjfPicdn,USUM71020778
151,"Je te laisserai des mots","Patrick Watson",133,10B,19,2024-05-11,02:40,83,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,44A0o4jA8F2ZF03Zacwlwx,CA0RZ1000020
152,"Fleeting Lullaby","Ado",89,2B,91,2024-04-23,02:53,64,"j-pop, anime, vocaloid, j-rock","UTA'S SONGS ONE PIECE FILM RED",2022-08-10,52,18,0,63,10,10,-2,F#/G♭ Major,4,1pnXMEGyw85jtg9fFZf4GP,JPPO02202653
153,"Eye Of The Tiger","Survivor",107,4A,50,2024-04-22,03:53,7,"","Rocky III: Music From The Motion Picture",1982-01-01,82,24,0,61,0,0,-14,F Minor,4,65S2uk1hIun6u09QaSckn7,USEM38200099
154,"See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",80,6B,48,2024-04-20,03:49,84,"soft pop","See You Again (feat. Charlie Puth)",2015-00-00,69,37,0,28,0,0,-8,A#/B♭ Major,4,2JzZzZUQj3Qff7wapcbKjc,USAT21703595
155,"In Memoriam","Les Choristes",76,6A,16,2024-04-18,03:24,0,"","Die Kinder des Monsieur Mathieu [Original Motion Picture Soundtrack]",2012-12-28,40,97,16,17,0,10,-13,G Minor,3,2meK0D6tbStZYFuD4GDVG2,FR26S2004002
156,"In memoriam (a capella)","Bruno Coulais",78,6A,13,2024-04-18,03:13,0,"","The Chorus (Original Motion Picture Soundtrack)",2004-03-17,28,99,0,26,0,30,-14,G Minor,4,5iGlKYhXG2aS9S9pGWgJIO,FR26S2004023
157,"Back To The Future - Main Theme","Geek Music",82,3B,47,2024-04-10,03:13,31,"anime","Back To The Future - Main Theme",2017-05-11,18,58,77,6,0,30,-10,C♯/D♭ Major,4,0tkfHVBe5o4j3Pi0kYiWrx,USLZJ1767178
158,"Mission: Impossible Theme","Michael Giacchino",90,4A,57,2024-04-08,00:51,58,"soundtrack, score","Mission: Impossible III (Music From The Original Motion Picture Soundtrack)",2006-05-08,30,32,14,76,0,0,-9,F Minor,4,1FL7eUG80aeUeyMO2N4btN,US3M50673301
159,"Love Story","Indila",96,3A,26,2024-04-04,05:16,80,"french pop","Mini World",2014-01-01,38,82,0,33,0,0,-12,A#/B♭ Minor,3,6nGeLlakfzlBcFdZXteDq7,FRUM71400048
160,"My Life Is Going On (Trailer Versión)","Manel Santisteban,Cecilia Krull",110,8B,44,2024-03-29,03:16,27,"","La Casa de Papel (Soundtrack de la serie de Netflix)",2023-12-01,48,16,20,6,0,0,-15,C Major,4,0GvsgJTKd2EIpNM8OnwNiv,QZ8BZ2307268
161,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2024-03-27,04:11,87,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
162,"Smells Like Teen Spirit","Nirvana",117,3B,91,2024-03-27,05:01,86,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,72,0,10,-5,C♯/D♭ Major,4,4CeeEOM32jQcH3eN9Q2dGj,USGF19942501
163,"Boulevard of Broken Dreams","Green Day",167,4B,68,2024-01-31,04:22,73,"punk, pop punk","Greatest Hits: God's Favorite Band",2017-11-17,50,1,0,47,0,0,-4,G#/A♭ Major,4,5GorCbAP4aL0EJ16frG2hd,USRE10400985
164,"Hey Jude","The Beatles",74,7B,63,2024-01-31,03:58,73,"classic rock, psychedelic rock","Love",2006-11-17,46,9,0,59,0,40,-7,F Major,4,1eT2CjXwFXNx6oY5ydvzKU,GBAYE0601566
165,"Counting Stars","OneRepublic",122,12A,71,2024-01-23,04:17,88,"soft pop","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306
166,"Let Her Go","Passenger",75,9B,55,2024-01-18,04:12,71,"folk pop","All the Little Lights (Deluxe Version)",2013-08-26,48,37,0,24,0,10,-7,G Major,4,5kWcIgj5CszKQBB0Lg7sGY,GBMQN1100004
167,"Enemy","Tommee Profitt,Beacon Light,Sam Tinnesz",125,7A,80,2023-12-30,03:10,36,"christian hip hop, ","Enemy",2023-06-02,59,34,0,7,10,0,-5,D Minor,4,01aihmCZU0ZWuzQI2n6Sk6,USUG11902929
168,"Dad’Algorhythm","Shaka Ponk",170,11A,87,2023-12-27,02:38,34,"","Dad’Algorhythm",2023-05-24,45,0,0,73,10,10,-2,F#/G♭ Minor,4,3BiY7K7qzbJ5VWZz2qgULg,FR79W2300060
169,"Can't Stop","Red Hot Chili Peppers",91,11B,94,2023-12-15,04:29,88,"funk rock, alternative rock, rock","By the Way (Deluxe Edition)",2002-07-09,62,2,0,88,0,10,-3,A Major,4,3ZOEytgrvLwQaqXreDs2Jx,USWB10201694
170,"Where Are You Now","Lost Frequencies,Calum Scott",121,11A,64,2023-11-12,02:28,77,"tropical house, soft pop","Where Are You Now",2021-07-30,67,52,0,26,10,10,-8,F#/G♭ Minor,4,3uUuGVFu1V7jTQL60S1r8z,BEHP42100067
171,"Touch Too Much","AC/DC",123,9B,91,2023-10-15,04:26,65,"rock, hard rock, classic rock, rock and roll","Highway to Hell",1979-07-27,52,4,0,61,10,30,-4,G Major,4,2j0zExWFB0PowLOeoZosjK,AUAP07900040
172,"Rock or Bust","AC/DC",98,4B,83,2023-10-15,03:03,63,"rock, hard rock, classic rock, rock and roll","Rock or Bust",2014-11-28,57,0,0,56,0,10,-4,G#/A♭ Major,4,2vyae4DvSU2gs8OMOGwXF2,USSM11407830
173,"Rock N Roll Train","AC/DC",118,10B,93,2023-10-15,04:20,71,"rock, hard rock, classic rock, rock and roll","Black Ice",2008-10-20,55,0,1,70,0,20,-2,D Major,4,4feXJ5IC3avXsVW9WNFSag,USSM10802975
174,"Shoot to Thrill","AC/DC",141,10B,90,2023-10-15,05:18,77,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,46,0,9,48,0,40,-5,D Major,4,0C80GCp0mMuBzLf3EAXqxv,AUAP08000042
175,"Back In Black","AC/DC",188,11B,70,2023-10-15,04:16,85,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,31,1,1,76,0,0,-6,A Major,4,08mG3Y1vljYA6bvDt4Wqkj,AUAP08000046
176,"Thunderstruck","AC/DC",134,12B,89,2023-10-15,04:52,87,"rock, hard rock, classic rock, rock and roll","The Razors Edge",1990-09-24,50,0,1,26,0,20,-5,E Major,4,57bgtoPSgt236HzfBOd8kj,AUAP09000014
177,"Highway to Hell","AC/DC",116,11A,91,2023-10-15,03:28,87,"rock, hard rock, classic rock, rock and roll","Highway to Hell",1979-07-27,57,6,0,42,10,10,-5,F#/G♭ Minor,4,2zYzyRzz6pRmhPzyfMEC8s,AUAP07900028
178,"You Shook Me All Night Long","AC/DC",127,9B,77,2023-10-15,03:30,84,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,53,0,0,76,0,30,-6,G Major,4,2SiXAy7TuUkycRVbbWDEpo,AUAP08000047
179,"Another Love","Tom Odell",123,9A,54,2023-10-15,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
180,"Whatever - Remastered","Oasis",91,9B,90,2023-10-13,06:22,61,"britpop, madchester","Definitely Maybe (Deluxe Edition Remastered)",1994-00-00,25,4,1,31,0,30,-2,G Major,4,5OWsea313ovaQoXvsgWq79,GBQCP1400033
181,"The Masterplan","Oasis",150,9B,60,2023-10-13,05:22,58,"britpop, madchester","The Masterplan",1998-11-03,36,10,0,20,0,0,-7,G Major,4,0g1Y10aIIdJDkcSEuAq51k,GBAAW9500350
182,"Wonderwall - Remastered","Oasis",174,10B,89,2023-10-13,04:18,80,"britpop, madchester","(What's The Story) Morning Glory? (Deluxe Remastered Edition)",1995-00-00,38,0,0,43,0,10,-4,D Major,4,7ygpwy2qP3NbrxVkHvUhXY,GBQCP1400109
183,"Natural","Imagine Dragons",100,10B,61,2023-09-28,03:09,81,"","Origins (Deluxe)",2018-11-09,70,22,0,22,0,0,-6,D Major,4,2FY7b99s15jUprqC0M5NCT,USUM71806694
184,"Sunday Bloody Sunday","U2",201,2B,99,2023-09-28,04:39,54,"rock","U218 Singles",2006-01-01,34,41,0,72,10,0,-3,F#/G♭ Major,4,6qa36OkEeQqGaWlOcpjlGD,GBAAN8300034
185,"Rather Be (feat. Jess Glynne)","Clean Bandit,Jess Glynne",121,1B,59,2023-09-28,03:47,81,"","New Eyes",2014-05-09,80,16,0,55,0,10,-7,B Major,4,61dCUoMCg28qEBzrW6htYM,GBAHS1300498
186,"World's Smallest Violin","AJR",116,7B,70,2023-09-27,03:00,68,"","OK ORCHESTRA",2021-03-26,68,12,0,68,0,60,-7,F Major,4,68EkhVWIeULhHxcbi1QhzK,QMRSZ2003324
187,"Stitches","Shawn Mendes",150,3B,75,2023-09-27,03:26,7,"","Handwritten",2015-04-14,75,2,0,76,0,0,-7,C♯/D♭ Major,4,3zkWCteF82vJwv0hRLba76,USUM71500658
188,"Ho Hey","The Lumineers",80,8B,47,2023-09-21,02:43,5,"folk pop, indie folk","The Lumineers (Deluxe Edition)",2012-00-00,68,77,0,42,0,0,-9,C Major,4,1K3LRUEcUz5FMtPYyg0F45,USDMG1260805
189,"I Ain't Worried","OneRepublic",140,8B,80,2023-09-20,02:28,82,"soft pop","I Ain’t Worried (Music From The Motion Picture  Top Gun: Maverick )",2022-05-13,70,8,0,83,0,0,-6,C Major,4,4h9wh7iOZ0GGn8QVp4RAOB,USUM72206227
190,"Whatever It Takes","Imagine Dragons",135,3A,66,2023-09-20,03:21,83,"","Evolve",2017-06-23,67,4,0,56,0,10,-5,A#/B♭ Minor,4,6Qn5zhYkTa37e91HC1D7lb,USUM71703515
191,"Stronger","The Score",128,7A,68,2023-09-20,03:10,63,"","Carry On",2020-08-28,56,2,0,13,0,30,-5,D Minor,4,3CrsuTJomWZmeXIvKhV45l,USUM71813488
192,"Wonderwall","Oasis",175,10B,85,2023-09-20,04:18,76,"britpop, madchester","(What's The Story) Morning Glory?",1995-10-02,41,0,0,46,0,10,-6,D Major,4,1qPbGZqppFwLwcBC1JQ6Vr,GBAAW9500189
193,"Bones","Imagine Dragons",114,4A,75,2023-09-20,02:45,80,"","Mercury - Acts 1 & 2",2022-07-01,77,2,0,59,0,0,-4,F Minor,4,54ipXppHLA8U4yqpOFTUhr,USUM72201759
194,"Only Human","Ryan Mack",180,6A,51,2023-09-18,02:15,0,"","Only Human",2022-02-15,70,18,0,67,10,0,-7,G Minor,4,6ygnNi801EHjdr9uU3YuZE,IERZR2200001
195,"IDGAF (with blackbear)","BoyWithUke,blackbear",98,7B,73,2023-09-15,02:20,68,"","Serotonin Dreams",2022-05-06,78,43,0,88,0,20,-6,F Major,4,4ZUpTMKPYFTfJqamWFU9Zv,USUG12201227
196,"Understand","BoyWithUke",103,11A,66,2023-09-15,02:51,68,"","Serotonin Dreams",2022-05-06,83,81,0,92,10,20,-6,F#/G♭ Minor,4,6dGqGkYDoRrKh5UiIcTT22,USUG12201585
197,"Thunder","Imagine Dragons",168,8B,82,2023-09-15,03:07,85,"","Evolve",2017-06-23,60,1,13,29,0,10,-5,C Major,4,1zB4vmk8tFRmM9UULNzbLB,USUM71704167
198,"Riptide","Vance Joy",102,3B,73,2023-09-15,03:24,7,"folk pop","Dream Your Life Away (Special Edition)",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,3JvrhDOgAt6p7K8mDyZwRd,AULI01385760
199,"Demons","Imagine Dragons",90,5B,71,2023-09-15,02:57,84,"","Night Visions",2012-09-04,50,19,0,42,0,20,-3,D#/E♭ Major,4,5qaEfEh1AtSdrdrByCP7qR,USUM71201071
